回,タイトル,著者,識別
169,ハンチバック,市川沙央,1
168,この世の喜びよ,井戸川射子,1
168,荒地の家族,佐藤厚志,1
167,おいしいごはんが食べられますように,高瀬隼子,1
166,ブラックボックス,砂川文次,1
165,貝に続く場所にて,石沢麻依,1
165,彼岸花が咲く島,李琴峰,1
164,推し、燃ゆ,宇佐見りん,1
163,破局,遠野遥,1
163,首里の馬,高山羽根子,1
162,背高泡立草,古川真人,1
161,むらさきのスカートの女,今村夏子,1
160,ニムロッド,上田岳弘,1
160,1R1分34秒,町屋良平,1
159,送り火,高橋弘希,1
158,おらおらでひとりいぐも,若竹千佐子,1
158,百年泥,石井遊佳,1
157,影裏,沼田真佑,1
156,しんせかい,山下澄人,1
155,コンビニ人間,村田沙耶香,1
154,死んでいない者,滝口悠生,1
154,異類婚姻譚,本谷有希子,1
153,スクラップ・アンド・ビルド,羽田圭介,1
153,火花,又吉直樹,1
152,九年前の祈り,小野正嗣,1
151,春の庭,柴崎友香,1
150,穴,小山田浩子,1
149,爪と目,藤野可織,1
148,ａｂさんご,黒田夏子,1
147,冥土めぐり,鹿島田真希,1
146,道化師の蝶,円城塔,1
146,共喰い,田中慎弥,1
144,きことわ,朝吹真理子,1
144,苦役列車,西村賢太,1
143,乙女の密告,赤染晶子,1
141,終の住処,磯崎憲一郎,1
140,ポトスライムの舟,津村記久子,1
139,時が滲む朝,楊逸,1
138,乳と卵,川上未映子,1
137,アサッテの人,諏訪哲史,1
136,ひとり日和,青山七恵,1
135,八月の路上に捨てる,伊藤たかみ,1
134,沖で待つ,絲山秋子,1
133,土の中の子供,中村文則,1
132,グランド･フィナーレ,阿部和重,1
131,介護入門,モブ・ノリオ,1
130,蛇にピアス,金原ひとみ,1
130,蹴りたい背中,綿矢りさ,1
129,ハリガネムシ,吉村萬壱,1
128,しょっぱいドライブ,大道珠貴,1
127,パーク・ライフ,吉田修一,1
126,猛スピードで母は,長嶋有,1
125,中陰の花,玄侑宗久,1
124,聖水,青来有一,1
124,熊の敷石,堀江敏幸,1
123,きれぎれ,町田康,1
123,花腐し,松浦寿輝,1
122,蔭の棲みか,玄月,1
122,夏の約束,藤野千夜,1
120,日蝕,平野啓一郎,1
119,ゲルマニウムの夜,花村萬月,1
119,ブエノスアイレス午前零時,藤沢周,1
117,水滴,目取真俊,1
116,海峡の光,辻仁成,1
116,家族シネマ,柳美里,1
115,蛇を踏む,川上弘美,1
114,豚の報い,又吉栄喜,1
113,この人の閾,保坂和志,1
111,おどるでく,室井光広,1
111,タイムスリップ・コンビナート,笙野頼子,1
110,石の来歴,奥泉光,1
109,寂寥郊野,吉目木晴彦,1
108,犬婿入り,多和田葉子,1
107,運転士,藤原智美,1
106,至高聖所アバトーン,松村栄子,1
105,自動起床装置,辺見庸,1
105,背負い水,荻野アンナ,1
104,妊娠カレンダー,小川洋子,1
103,村の名前,辻原登,1
102,表層生活,大岡玲,1
102,ネコババのいる町で,瀧澤美恵子,1
100,ダイヤモンドダスト,南木佳士,1
100,由煕,李良枝,1
99,尋ね人の時間,新井満,1
98,スティル・ライフ,池澤夏樹,1
98,長男の出家,三浦清宏,1
97,鍋の中,村田喜代子,1
94,過越しの祭,米谷ふみ子,1
92,青桐,木崎さと子,1
90,杢二の世界,笠原淳,1
90,光抱く友よ,高樹のぶ子,1
88,夢の壁,加藤幸子,1
88,佐川君からの手紙,唐十郎,1
85,小さな貴婦人,吉行理恵,1
84,父が消えた,尾辻克彦,1
82,モッキングバードのいる町,森禮子,1
81,やまあいの煙,重兼芳子,1
81,愚者の夜,青野聰,1
79,伸予,高橋揆一郎,1
79,九月の空,高橋三千綱,1
78,螢川,宮本輝,1
78,榧の木祭り,高城修三,1
77,僕って何,三田誠広,1
77,エーゲ海に捧ぐ,池田満寿夫,1
75,限りなく透明に近いブルー,村上龍,1
74,岬,中上健次,1
74,志賀島,岡松和夫,1
73,祭りの場,林京子,1
72,あの夕陽,日野啓三,1
72,土の器,阪田寛夫,1
70,草のつるぎ,野呂邦暢,1
70,月山,森敦,1
69,鶸,三木卓,1
68,ベティさんの庭,山本道子,1
68,れくいえむ,郷静子,1
67,いつか汽笛を鳴らして,畑山博,1
67,誰かが触った,宮原昭夫,1
66,砧をうつ女,李恢成,1
66,オキナワの少年,東峰夫,1
64,杳子,古井由吉,1
63,無明長夜,吉田知子,1
63,プレオー8の夜明け,古山高麗雄,1
62,アカシヤの大連,清岡卓行,1
61,赤頭巾ちゃん気をつけて,庄司薫,1
61,深い河,田久保英夫,1
59,年の残り,丸谷才一,1
59,三匹の蟹,大庭みな子,1
58,徳山道助の帰郷,柏原兵三,1
57,カクテル・パーティー,大城立裕,1
56,夏の流れ,丸山健二,1
54,北の河,高井有一,1
53,玩具,津村節子,1
51,されどわれらが日々──,柴田翔,1
50,感傷旅行センチメンタル・ジャーニィ,田辺聖子,1
49,少年の橋,後藤紀一,1
49,蟹,河野多惠子,1
47,美談の出発,川村晃,1
46,鯨神,宇能鴻一郎,1
44,忍ぶ川,三浦哲郎,1
43,夜と霧の隅で,北杜夫,1
41,山塔,斯波四郎,1
39,飼育,大江健三郎,1
38,裸の王様,開高健,1
37,硫黄島,菊村到,1
35,海人舟,近藤啓太郎,1
34,太陽の季節,石原慎太郎,1
33,白い人,遠藤周作,1
32,アメリカン・スクール,小島信夫,1
32,プールサイド小景,庄野潤三,1
31,驟雨・その他,吉行淳之介,1
29,悪い仲間・陰気な愉しみ,安岡章太郎,1
28,喪神,五味康祐,1
28,或る「小倉日記」伝,松本清張,1
26,広場の孤独・漢奸その他,堀田善衛,1
25,壁,安部公房,1
25,春の草　他,石川利光,1
23,異邦人,辻亮一,1
22,闘牛,井上靖,1
21,確証,小谷剛,1
21,本の話,由起しげ子,1
20,雁立,清水基吉,1
19,劉廣福,八木義徳,1
19,登攀,小尾十三,1
18,和紙,東野邊薫,1
17,纏足の頃,石塚喜久三,1
16,連絡員,倉光俊夫,1
14,青果の市,芝木好子,1
13,長江デルタ,多田裕計,1
12,平賀源内,櫻田常久,1
10,密獵者,寒川光太郎,1
9,鶏騒動,半田義之,1
9,あさくさの子供,長谷健,1
8,乗合馬車　他,中里恒子,1
7,厚物咲,中山義秀,1
6,糞尿譚,火野葦平,1
5,暢氣眼鏡　他,尾崎一雄,1
4,普賢,石川淳,1
4,地中海,冨澤有爲男,1
3,城外,小田嶽夫,1
3,コシャマイン記,鶴田知也,1
1,蒼氓,石川達三,1
